LTT,FUT,ATMstrike,PrevClose,LTP,High,Low,NetDecay,CE_COI,PE_COI,CE_Max,PE_Max,CE_MaxStr,PE_MaxStr,SPOT,PrevLTP,AVG
09:15:10,36152,36200,394.15,286.8,301.35,302.2,-107.35,-11000,-106100,49800,1825,43100,29700,36160,360,286.8
09:15:18,36154,36200,394.15,296.95,301.35,298.6,-97.2,-3050,-91825,49800,1825,43100,29700,36137,366,291.88
09:15:24,36178,36200,394.15,288.8,301.35,298.6,-105.35,3025,-91825,49800,1825,43100,29700,36176,344,290.85
09:15:29,36181,36200,394.15,283.95,301.35,298.6,-110.2,1750,-91825,49800,1825,43100,29700,36174,331,289.12
09:15:35,36173,36200,394.15,287.9,301.35,298.6,-106.25,3450,-78200,49800,1825,43100,29700,36165,342,288.88
09:15:41,36149,36200,394.15,287.5,301.35,298.6,-106.65,7175,-76050,49800,1825,43100,29700,36144,355,288.65
09:15:46,36163,36200,394.15,287.45,301.35,298.6,-106.7,23600,-71750,49800,1825,43100,29700,36148,352,288.48
09:15:52,36160,36200,394.15,286.05,301.35,298.6,-108.1,23675,-68425,49800,1825,43100,29700,36152,353,288.18
09:15:58,36170,36200,394.15,282.75,301.35,298.6,-111.4,35950,-65450,49800,1825,43100,29700,36159,347,287.57
09:16:04,36169,36200,394.15,277.65,301.35,298.6,-116.5,35950,-63050,49800,1825,43100,29700,36160,337,286.58
09:16:10,36169,36200,394.15,280.4,301.35,298.6,-113.75,44000,-24975,49800,1825,43100,29700,36154,344,286.02
09:16:14,36162,36200,394.15,279.15,301.35,298.6,-115.0,46275,-20975,49800,1825,43100,29700,36161,343,285.45
09:16:20,36165,36200,394.15,279.75,301.35,298.6,-114.4,46275,-20975,49800,1825,43100,29700,36150,342,285.01
09:16:26,36151,36200,394.15,279.95,301.35,297.8,-114.2,46275,-21725,49800,1825,43100,29700,36141,345,284.65
09:16:31,36152,36200,394.15,281.05,301.35,297.2,-113.1,46275,-21700,49800,1825,43100,29700,36140,352,284.41
09:16:37,36143,36200,394.15,277.95,301.35,296.55,-116.2,46275,-21700,49800,1825,43100,29700,36139,351,284.0
09:16:42,36145,36200,394.15,278.05,301.35,294.85,-116.1,46275,-21700,49800,1825,43100,29700,36138,354,283.65
09:16:47,36152,36200,394.15,278.6,301.35,294.85,-115.55,46975,-21000,49800,1825,43100,29700,36147,350,283.37
09:16:52,36150,36200,394.15,279.1,301.35,294.85,-115.05,-2825,-21000,3975,1825,41600,29700,36143,346,283.15
09:16:57,36145,36200,394.15,279.6,301.35,294.85,-114.55,-2825,-21000,3975,1825,41600,29700,36139,351,282.97
09:17:02,36150,36200,394.15,275.7,301.35,294.85,-118.45,-2825,-21000,3975,1825,41600,29700,36146,345,282.62
09:17:08,36152,36200,394.15,277.4,301.35,294.85,-116.75,-2825,-19825,3975,1825,41600,29700,36143,350,282.39
09:17:14,36137,36200,394.15,277.6,301.35,292.3,-116.55,-2825,-19825,3975,1825,41600,29700,36133,350,282.18
09:17:19,36132,36200,394.15,276.2,301.35,287.3,-117.95,-2825,-19825,3975,1825,41600,29700,36124,352,281.93
09:17:24,36142,36200,394.15,276.6,301.35,287.3,-117.55,-2825,-19825,3975,1825,41600,29700,36143,354,281.72
09:17:29,36143,36200,394.15,277.8,301.35,287.3,-116.35,-33875,31525,3975,21825,41600,34100,36138,349,281.57
09:17:36,36132,36200,394.15,277.2,301.35,287.3,-116.95,2510475,1493075,493975,538975,36200,36000,36122,352,281.4
09:17:40,36136,36200,394.15,276.8,301.35,287.3,-117.35,2532725,1498925,493975,538975,36200,36000,36121,357,281.24
09:17:45,36132,36200,394.15,275.25,301.35,284.65,-118.9,2533050,1499175,493975,538975,36200,36000,36118,353,281.03
09:17:50,36132,36200,394.15,274.35,301.35,283.4,-119.8,2534800,1501725,493975,538975,36200,36000,36121,355,280.81
09:17:55,36131,36200,394.15,276.6,301.35,283.4,-117.55,2534800,1501725,493975,538975,36200,36000,36116,354,280.67
09:18:02,36125,36200,394.15,276.25,301.35,281.3,-117.9,2535925,1501725,493975,538975,36200,36000,36112,357,280.54
09:18:09,36122,36200,394.15,273.55,301.35,278.55,-120.6,2535950,1501975,493975,538975,36200,36000,36102,358,280.32
09:18:14,36124,36200,394.15,272.9,301.35,276.5,-121.25,2536000,1501975,493975,538975,36200,36000,36104,357,280.11
09:18:21,36120,36200,394.15,272.25,301.35,275.05,-121.9,2535750,1504375,493975,538975,36200,36000,36105,362,279.88
09:18:26,36130,36200,394.15,271.05,301.35,275.05,-123.1,2535725,1504925,493975,538975,36200,36000,36109,354,279.64
09:18:30,36124,36200,394.15,273.55,301.35,275.05,-120.6,2536425,1505200,493975,538975,36200,36000,36103,358,279.47
09:18:36,36119,36200,394.15,275.0,301.35,275.05,-119.15,2536425,1505200,493975,538975,36200,36000,36103,359,279.35
09:18:42,36122,36200,394.15,273.1,301.35,275.05,-121.05,2535800,1505200,493975,538975,36200,36000,36102,357,279.19
09:18:47,36119,36200,394.15,276.35,301.35,273.9,-117.8,2535800,1505775,493975,538975,36200,36000,36094,360,279.12
09:18:52,36113,36200,394.15,274.6,301.35,273.9,-119.55,2535800,1505500,493975,538975,36200,36000,36101,364,279.01
09:18:58,36126,36200,394.15,274.95,301.35,273.9,-119.2,2535125,1504925,493975,538975,36200,36000,36113,361,278.92
09:19:04,36138,36200,394.15,271.25,301.35,273.9,-122.9,2535125,1504925,493975,538975,36200,36000,36122,350,278.74
09:19:10,36138,36200,394.15,269.95,301.35,273.9,-124.2,2536700,1510600,493975,538975,36200,36000,36121,348,278.54
