LTT,FUT,ATMstrike,PrevClose,LTP,High,Low,NetDecay,CE_COI,PE_COI,CE_Max,PE_Max,CE_MaxStr,PE_MaxStr,SPOT,PrevLTP,AVG
09:15:10,17788,17800,257.5,239.6,243.0,232.65,-17.9,-422250,133750,57150,192250,19300,16750,17748,262,239.6
09:15:20,17783,17800,257.5,239.45,243.0,236.7,-18.05,-466150,-116600,57150,174900,19300,16650,17740,266,239.52
09:15:31,17776,17800,257.5,239.9,243.0,236.75,-17.6,-523600,-172850,57150,174900,19300,16650,17733,270,239.65
09:15:45,17775,17800,257.5,234.2,243.0,235.35,-23.3,-565600,-322050,57150,174900,19300,16650,17728,262,238.29
09:15:55,17780,17800,257.5,234.45,243.0,235.35,-23.05,-622200,-323300,50750,174900,18300,16650,17731,264,237.52
09:16:06,17780,17800,257.5,227.75,243.0,235.35,-29.75,-625500,-499950,50750,54200,18300,15900,17733,256,235.89
09:16:16,17792,17800,257.5,227.95,243.0,235.35,-29.55,-625500,-499950,50750,54200,18300,15900,17742,254,234.76
09:16:27,17795,17800,257.5,232.65,243.0,235.35,-24.85,-625500,-511400,50750,54200,18300,15900,17748,258,234.49
09:16:37,17795,17800,257.5,234.6,243.0,235.35,-22.9,-625500,-511400,50750,54200,18300,15900,17747,258,234.51
09:16:47,17796,17800,257.5,235.5,243.0,235.35,-22.0,-628000,-511400,50750,54200,18300,15900,17749,259,234.6
09:16:57,17795,17800,257.5,234.65,243.0,235.35,-22.85,-627700,-511400,50750,54200,18300,15900,17746,259,234.61
09:17:07,17795,17800,257.5,233.3,243.0,235.35,-24.2,-627700,-511400,50750,54200,18300,15900,17742,259,234.5
09:17:17,17785,17800,257.5,234.1,243.0,235.35,-23.4,-627700,-511400,50750,54200,18300,15900,17734,262,234.47
09:17:27,17782,17800,257.5,233.6,243.0,235.35,-23.9,751400,-138300,229000,155700,17750,17750,17732,261,234.41
09:17:39,17777,17800,257.5,235.75,243.0,235.35,-21.75,718550,-205050,229000,155700,17750,17750,17725,266,234.5
09:17:52,17782,17800,257.5,233.4,243.0,235.35,-24.1,718650,-204750,229000,155700,17750,17750,17731,263,234.43
09:18:02,17780,17800,257.5,234.25,243.0,235.35,-23.25,718750,-212450,229000,155700,17750,17750,17728,263,234.42
09:18:13,17767,17800,257.5,234.5,243.0,232.45,-23.0,718350,-204750,229000,155700,17750,17750,17719,269,234.42
09:18:24,17772,17800,257.5,234.75,243.0,232.45,-22.75,718350,-220350,229000,155700,17750,17750,17720,265,234.44
09:18:36,17776,17800,257.5,233.0,243.0,232.45,-24.5,718200,-220400,229000,155700,17750,17750,17725,263,234.37
09:18:47,17778,17800,257.5,234.1,243.0,232.45,-23.4,718200,-220450,229000,155700,17750,17750,17726,263,234.35
09:18:59,17777,17800,257.5,234.35,243.0,232.45,-23.15,718200,-222850,229000,155700,17750,17750,17727,263,234.35
09:19:12,17770,17800,257.5,236.0,243.0,232.45,-21.5,718200,-222850,229000,155700,17750,17750,17718,267,234.43
09:19:23,17766,17800,257.5,235.9,243.0,232.05,-21.6,718200,-222850,229000,155700,17750,17750,17712,268,234.49
09:19:35,17762,17800,257.5,235.95,243.0,230.8,-21.55,718250,-222750,229000,155700,17750,17750,17706,270,234.55
09:19:46,17760,17800,257.5,237.25,243.0,230.65,-20.25,718600,-237250,229000,155700,17750,17750,17704,272,234.65
09:19:57,17765,17800,257.5,236.5,243.0,230.65,-21.0,718600,-237250,229000,155700,17750,17750,17710,269,234.72
09:20:08,17764,17800,257.5,237.05,243.0,230.65,-20.45,718600,-237250,229000,155700,17750,17750,17706,271,234.8
09:20:19,17763,17800,257.5,236.2,243.0,230.65,-21.3,718600,-237250,229000,155700,17750,17750,17709,270,234.85
09:20:33,17759,17800,257.5,239.0,243.0,232.25,-18.5,3148600,417150,538700,273300,18000,17750,17703,274,234.99
09:20:44,17757,17800,257.5,240.55,243.0,232.25,-16.95,3151250,417950,538700,273300,18000,17750,17702,276,235.17
09:20:55,17757,17800,257.5,240.1,243.0,232.25,-17.4,3153050,418250,538700,273300,18000,17750,17703,273,235.32
09:21:07,17753,17800,257.5,240.25,243.0,232.2,-17.25,3153050,419450,538700,273300,18000,17750,17700,275,235.47
09:21:22,17757,17800,257.5,238.25,243.0,232.2,-19.25,3153050,415600,538700,273300,18000,17750,17706,274,235.55
09:21:33,17759,17800,257.5,238.6,243.0,232.2,-18.9,3153050,415400,538700,273300,18000,17750,17702,274,235.64
09:21:44,17755,17800,257.5,242.25,243.0,233.5,-15.25,3153050,415850,538700,273300,18000,17750,17696,279,235.82
09:21:56,17748,17750,257.5,234.75,243.0,235.05,-22.75,3153150,415950,538700,273300,18000,17750,17695,280,235.79
09:22:07,17746,17750,257.5,232.95,243.0,233.85,-24.55,3153200,408450,538700,273300,18000,17750,17691,282,235.72
09:22:18,17746,17750,257.5,232.65,243.0,233.85,-24.85,3153200,409100,538700,273300,18000,17750,17692,280,235.64
09:22:28,17747,17750,257.5,232.95,243.0,233.85,-24.55,3152450,409100,538700,273300,18000,17750,17694,279,235.57
09:22:39,17747,17750,257.5,232.95,243.0,233.85,-24.55,3151150,409100,538700,273300,18000,17750,17694,282,235.51
09:22:50,17748,17750,257.5,232.8,243.0,233.85,-24.7,3151150,411850,538700,273300,18000,17750,17696,280,235.45
09:23:01,17745,17750,257.5,234.1,243.0,233.85,-23.4,3151150,411850,538700,273300,18000,17750,17694,282,235.41
09:23:12,17747,17750,257.5,233.35,243.0,234.65,-24.15,3151150,408450,538700,273300,18000,17750,17696,281,235.37
09:23:23,17755,17750,257.5,231.05,243.0,234.65,-26.45,4396650,587350,769100,285750,18000,17500,17699,276,235.27
09:23:34,17751,17750,257.5,232.95,243.0,234.65,-24.55,5205050,855550,769100,285750,18000,17500,17696,280,235.22
09:23:44,17752,17750,257.5,231.65,243.0,234.65,-25.85,5202450,868500,769100,285750,18000,17500,17701,276,235.14
09:23:55,17750,17750,257.5,232.5,243.0,234.65,-25.0,5202450,869650,769100,285750,18000,17500,17701,277,235.09
09:24:05,17745,17750,257.5,232.1,243.0,234.2,-25.4,5202300,869600,769100,285750,18000,17500,17697,277,235.03
09:24:16,17745,17750,257.5,232.95,243.0,232.85,-24.55,5202300,867900,769100,285750,18000,17500,17693,282,234.99
09:24:28,17740,17750,257.5,233.45,243.0,233.6,-24.05,5202400,867700,769100,285750,18000,17500,17689,284,234.96
09:24:39,17734,17750,257.5,233.95,243.0,235.1,-23.55,5202200,869400,769100,285750,18000,17500,17687,285,234.94
09:24:50,17736,17750,257.5,234.05,243.0,234.8,-23.45,5201100,869400,769100,285750,18000,17500,17689,285,234.92
09:25:00,17732,17750,257.5,234.6,243.0,234.7,-22.9,5201100,869550,769100,285750,18000,17500,17685,286,234.91
09:25:11,17721,17750,257.5,238.65,243.0,231.5,-18.85,5201100,869900,769100,285750,18000,17500,17676,294,234.98
09:25:23,17721,17750,257.5,235.5,243.0,231.5,-22.0,5201100,869900,769100,285750,18000,17500,17676,292,234.99
09:25:34,17720,17750,257.5,235.35,243.0,231.25,-22.15,5201100,869950,769100,285750,18000,17500,17677,294,235.0
09:25:45,17720,17750,257.5,236.95,243.0,231.0,-20.55,5201100,869950,769100,285750,18000,17500,17676,296,235.03
09:25:57,17720,17750,257.5,237.5,243.0,231.0,-20.0,5201100,869950,769100,285750,18000,17500,17675,296,235.07
09:26:09,17724,17750,257.5,236.65,243.0,231.15,-20.85,5201100,869950,769100,285750,18000,17500,17677,296,235.1
09:26:20,17725,17750,257.5,236.15,243.0,231.15,-21.35,5201100,869950,769100,285750,18000,17500,17678,294,235.12
09:26:32,17730,17750,257.5,235.4,243.0,231.15,-22.1,8083400,751300,1195000,301400,17800,17700,17685,289,235.12
09:26:43,17731,17750,257.5,234.25,243.0,231.15,-23.25,8093450,753500,1195000,301400,17800,17700,17689,286,235.11
09:26:54,17733,17750,257.5,233.6,243.0,231.15,-23.9,8094550,756350,1195000,301400,17800,17700,17688,287,235.08
09:27:05,17731,17750,257.5,233.8,243.0,231.15,-23.7,8107800,756350,1195000,301400,17800,17700,17685,287,235.06
09:27:16,17731,17750,257.5,234.75,243.0,231.15,-22.75,8107050,756350,1195000,301400,17800,17700,17685,291,235.06
09:27:27,17729,17750,257.5,235.2,243.0,231.15,-22.3,8107050,760050,1195000,301400,17800,17700,17685,290,235.06
09:27:40,17732,17750,257.5,234.4,243.0,231.15,-23.1,8108800,760400,1195000,301400,17800,17700,17688,288,235.05
09:27:51,17734,17750,257.5,234.2,243.0,231.15,-23.3,8108800,760400,1195000,301400,17800,17700,17689,286,235.04
09:28:03,17736,17750,257.5,232.05,243.0,231.15,-25.45,8111050,760350,1195000,301400,17800,17700,17691,284,235.0
09:28:14,17740,17750,257.5,231.1,243.0,231.15,-26.4,8111050,760950,1195000,301400,17800,17700,17692,282,234.94
09:28:26,17742,17750,257.5,230.4,243.0,231.15,-27.1,8111050,760950,1195000,301400,17800,17700,17695,278,234.88
09:28:36,17738,17750,257.5,232.25,243.0,231.15,-25.25,8111850,756650,1195000,301400,17800,17700,17696,283,234.84
09:28:48,17735,17750,257.5,231.8,243.0,231.15,-25.7,8111850,756650,1195000,301400,17800,17700,17691,284,234.8
09:28:59,17735,17750,257.5,231.55,243.0,231.15,-25.95,8111450,756650,1195000,301400,17800,17700,17690,282,234.76
09:29:11,17727,17750,257.5,232.95,243.0,231.15,-24.55,8111700,756650,1195000,301400,17800,17700,17685,289,234.73
09:29:22,17727,17750,257.5,232.95,243.0,231.15,-24.55,8110650,1121350,1195000,339500,17800,17500,17685,289,234.71
09:29:34,17723,17750,257.5,234.05,243.0,231.15,-23.45,9223000,1119450,1323850,339500,17800,17500,17681,291,234.7
09:29:46,17725,17750,257.5,234.2,243.0,231.15,-23.3,9225400,1117700,1323850,339500,17800,17500,17683,289,234.7
09:29:57,17725,17750,257.5,234.65,243.0,231.15,-22.85,9220450,1117750,1323850,339500,17800,17500,17683,291,234.7
09:30:09,17725,17750,257.5,234.85,243.0,231.15,-22.65,9229300,1116950,1323850,339500,17800,17500,17677,290,234.7
09:30:21,17724,17750,257.5,233.25,243.0,231.15,-24.25,9229300,1117000,1323850,339500,17800,17500,17680,289,234.68
09:30:34,17722,17750,257.5,233.6,243.0,231.15,-23.9,9228700,1118050,1323850,339500,17800,17500,17680,290,234.67
09:30:46,17718,17750,257.5,233.7,243.0,231.15,-23.8,9228700,1118000,1323850,339500,17800,17500,17677,292,234.66
